epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,500,2,100,20,ELU,251.889:26.821:25.893:25.839:25.825:25.817:25.814:25.814:26.221:28.713:25.814:25.809:28.51:26.008:25.809:25.804:27.742:25.922:25.805:25.803,30.042:25.919:25.795:25.769:25.769:25.754:25.757:25.754:44.131:25.779:25.761:25.755:25.999:25.759:25.751:25.747:25.989:25.751:25.746:25.747
20,500,2,100,20,ReLU,153.342:26.32:25.957:25.879:25.846:25.821:25.812:25.809:25.795:25.795:25.789:25.785:25.786:25.782:25.781:25.782:25.777:25.778:25.78:25.777,27.284:26.039:25.936:25.882:25.872:25.851:25.838:25.834:25.831:25.834:25.826:25.823:25.825:25.824:25.827:25.819:25.822:25.822:25.819:25.827
20,500,2,100,20,SELU,871.213:29.231:25.997:25.829:25.781:25.763:25.754:25.753:37.207:30.98:25.78:25.749:25.748:25.746:48.272:27.682:25.764:25.745:25.743:25.743,40.959:26.323:25.942:25.864:25.839:25.829:25.823:25.815:48.979:25.996:25.822:25.818:25.816:25.819:34.845:25.889:25.816:25.815:25.816:25.817
20,500,2,100,50,ELU,586.85:29.156:26.528:26.152:26.004:29.802:26.094:26.956:28.156:25.898:25.81:29.679:25.897:26.143:25.883:27.806:30.549:26.504:27.101:26.153,35.269:26.926:26.304:26.102:25.985:27.541:25.908:36.833:25.924:25.849:25.84:26.128:25.824:25.957:25.896:26.027:28.206:25.862:27.217:25.89
20,500,2,100,50,ReLU,554.028:27.367:26.134:25.979:25.906:25.86:25.843:25.818:25.8:25.791:25.789:25.782:25.781:25.773:25.769:25.769:25.763:25.766:25.767:25.76,30.878:26.365:26.125:26.035:25.981:25.95:25.929:25.908:25.893:25.884:25.868:25.871:25.868:25.862:25.856:25.865:25.859:25.859:25.852:25.856
20,500,2,100,50,SELU,2143.447:42.106:29.63:27.684:26.886:26.48:27.163:28.676:29.454:27.199:43.891:30.575:25.95:25.885:25.873:33.962:41.28:25.958:25.841:25.847,73.155:31.38:28.23:27.121:26.586:26.312:30.654:26.185:31.982:26.209:52.323:26.073:25.868:25.853:25.827:65.139:26.233:25.817:25.808:26.037
20,500,2,100,100,ELU,1214.176:33.325:27.678:26.768:26.382:29.942:28.486:26.386:26.008:29.578:28.584:28.398:27.151:26.826:27.685:27.666:30.045:26.224:26.987:28.487,47.575:28.506:27.079:26.522:26.249:31.021:26.932:26.169:25.922:29.336:26.659:28.717:25.987:26.049:31.657:26.882:26.751:28.984:25.827:30.876
20,500,2,100,100,ReLU,1010.075:28.948:26.506:26.2:26.077:25.991:25.952:25.921:25.908:25.896:25.885:25.878:25.87:25.871:25.861:25.859:25.858:25.855:25.849:25.85,35.988:26.77:26.252:26.044:25.968:25.927:25.88:25.86:25.849:25.835:25.83:25.821:25.813:25.824:25.812:25.81:25.805:25.799:25.8:25.794
20,500,2,100,100,SELU,4050.104:54.641:32.809:29.361:27.934:27.213:28.794:74.879:26.754:26.286:26.173:167.042:28.28:26.136:26.026:25.979:25.95:25.926:25.909:40.067,108.345:36.177:30.473:28.44:27.473:26.946:192.996:28.117:26.339:26.197:26.186:35.273:26.246:26.037:25.981:25.942:25.913:25.896:25.896:26.407
20,500,2,500,2,ELU,676.49:27.125:25.824:25.811:25.809:25.811:33.566:27.097:25.808:25.798:25.798:25.799:25.8:25.797:25.795:25.795:25.795:25.799:25.795:25.798,34.078:25.929:25.877:25.861:25.854:25.858:30.878:25.869:25.826:25.82:25.818:25.815:25.809:25.807:25.802:25.819:25.815:25.809:25.81:25.811
20,500,2,500,2,ReLU,49.832:25.791:25.785:25.782:25.784:25.778:25.777:25.774:25.765:25.764:25.763:25.759:25.758:25.763:25.756:25.751:25.753:25.762:25.751:25.75,25.89:25.848:25.843:25.89:25.834:25.84:25.842:25.838:25.841:25.841:25.837:25.834:25.839:25.844:25.835:25.855:25.837:25.841:25.836:25.839
20,500,2,500,2,SELU,3136.827:79.929:28.634:144.501:26.135:25.822:25.821:25.823:25.821:25.82:25.82:25.82:25.816:25.818:25.818:25.815:25.817:26.633:61.647:26.078,311.099:27.707:216.057:27.412:25.779:25.774:25.78:25.779:25.778:25.774:25.776:25.773:25.776:25.776:25.768:25.769:25.771:92.967:27.346:25.79
20,500,2,500,5,ELU,678.327:27.489:25.788:25.774:25.77:25.767:25.764:29.203:32.688:26.554:25.776:25.977:27.367:25.765:25.757:25.756:25.754:25.755:25.755:32.792,30.257:25.898:25.821:25.818:25.817:25.815:25.816:139.766:26.169:25.896:25.891:25.911:25.822:25.813:25.817:25.816:25.815:25.814:25.815:26.229
20,500,2,500,5,ReLU,49.052:25.831:25.832:25.822:25.823:25.824:25.817:25.815:25.838:25.815:25.82:25.811:25.811:25.817:25.812:25.826:25.81:25.809:25.812:25.808,25.892:25.828:25.847:25.809:25.823:25.794:25.801:25.789:25.803:25.801:25.794:25.784:25.793:25.794:25.795:25.792:25.792:25.786:25.794:25.827
20,500,2,500,5,SELU,3055.272:216.062:26.327:25.813:25.808:96.96:27.352:25.813:25.802:25.8:25.8:25.801:25.799:31.888:26.04:28.843:30.213:25.891:25.795:29.215,2521.854:28.743:25.81:25.799:25.792:32.818:25.846:25.795:25.798:25.788:25.795:25.79:25.793:26.377:25.804:93.702:26.108:25.789:25.789:115.801
20,500,2,500,7,ELU,640.823:36.941:26.015:25.821:25.811:40.182:26.058:25.802:25.799:29.025:26.392:25.798:25.797:25.795:25.796:25.795:25.797:25.799:26.2:25.872,34.886:26.562:25.787:25.771:25.787:26.133:25.773:25.768:25.769:27.604:25.781:25.765:25.766:25.773:25.764:25.767:25.766:25.778:26.086:25.783
20,500,2,500,7,ReLU,50.499:25.829:25.822:25.833:25.822:25.817:25.813:25.815:25.842:25.814:25.811:25.809:25.809:25.803:25.819:25.806:25.803:25.843:25.809:25.797,25.856:25.799:25.804:25.79:25.801:25.815:25.786:25.786:25.815:25.801:25.791:25.795:25.797:25.803:25.794:25.802:25.807:25.823:25.796:25.788
20,500,2,500,7,SELU,2791.531:48.472:25.93:25.82:120.148:27.24:25.83:25.814:37.491:26.435:25.818:25.812:35.009:28.687:25.824:25.807:25.805:25.803:33.093:39.378,102.772:26.112:25.794:25.799:34.322:25.843:25.79:25.79:29.675:25.813:25.789:25.789:30.221:25.866:25.786:25.782:25.785:25.781:252.183:26.102
20,500,2,500,10,ELU,684.666:29.078:25.865:25.822:25.816:49.24:26.623:25.817:25.807:25.805:28.328:26.34:28.009:25.861:25.806:29.012:26.063:25.809:25.806:25.804,44.053:25.88:25.777:25.773:25.771:28.632:25.794:25.764:25.761:25.76:26.667:25.801:26.156:25.765:25.76:27.007:25.772:25.761:25.761:25.758
20,500,2,500,10,ReLU,59.484:25.865:25.864:25.865:25.858:25.86:25.857:25.865:25.858:25.842:25.849:25.841:25.891:25.834:25.833:25.828:25.828:25.827:25.82:25.826,25.872:25.797:25.798:25.803:25.801:25.79:25.792:25.797:25.788:25.788:25.778:25.823:25.799:25.779:25.796:25.781:25.781:25.77:25.773:25.767
20,500,2,500,10,SELU,2880.523:35.993:26.187:114.823:26.282:25.843:45.297:26.606:84.617:36.193:25.905:25.827:25.826:25.821:25.823:42.9:36.683:25.998:25.823:25.821,86.209:26.189:37.693:28.52:25.805:25.776:27.804:25.85:59.41:26.055:25.774:25.767:25.762:25.758:25.768:59.171:26.319:25.773:25.764:25.762
20,500,2,500,20,ELU,564.455:41.514:26.23:35.979:26.629:28.493:26.352:28.166:26.057:25.816:27.337:26.601:26.017:26.176:26.978:26.516:25.868:25.806:28.416:25.933,29.462:28.634:25.841:29.588:26.276:31.154:25.842:27.565:25.82:25.845:25.865:25.963:26.006:26.211:26.592:26.233:25.807:25.946:26.349:25.833
20,500,2,500,20,ReLU,61.607:25.853:25.823:25.81:25.796:25.804:25.805:25.806:25.802:25.791:25.795:25.79:25.785:25.791:25.785:25.786:25.799:25.781:25.778:25.807,25.954:25.849:25.852:25.844:25.832:25.847:25.848:25.85:25.844:25.852:25.856:25.834:25.842:25.828:25.843:25.838:25.83:25.823:25.835:25.895
20,500,2,500,20,SELU,2982.55:31.434:78.758:34.12:28.089:50.331:26.583:38.966:29.742:26.124:27.304:33.281:30.441:27.558:28.519:27.702:27.302:28.184:32.521:31.874,52.848:26.143:98.15:26.18:198.985:27.602:26.283:43.758:26.193:26.41:34.441:31.725:27.207:27.185:28.07:26.547:27.606:29.433:33.844:29.145
20,500,2,500,50,ELU,829.886:41.679:32.016:27.359:33.279:26.797:34.717:27.207:28.211:26.377:27.8:27.449:28.702:26.901:26.574:26.942:26.351:26.261:31.716:26.036,30.792:26.625:30.31:25.868:27.423:61.111:26.04:26.362:26.494:28.501:36.63:36.58:26.001:27.311:26.681:26.4:26.115:29.358:26.275:27.102
20,500,2,500,50,ReLU,67.015:25.91:25.855:25.844:25.828:25.825:25.825:25.822:25.814:25.808:25.828:25.809:25.789:25.792:25.787:25.831:25.785:25.784:25.779:25.787,26.152:25.949:25.928:25.923:25.892:25.896:25.89:25.942:25.888:25.903:25.961:25.883:25.908:25.873:25.898:25.879:25.869:25.867:25.864:25.872
20,500,2,500,50,SELU,4056.188:33.446:25.894:143.982:28.815:25.856:27.02:91.694:26.201:25.83:25.954:37.294:27.224:28.235:29.974:28.489:37.085:31.16:27.918:29.591,58.169:26.038:25.79:39.746:25.917:25.779:79.042:27.574:25.793:25.775:29.053:26.994:26.309:36.74:28.117:26.43:34.146:26.961:27.016:28.007
